species;eu_status;google;scopus;EASIN_Id;Status;TER;FRW;MAR;EST;habitat;worst_100_world_ISSG;worst_100_Europe_DAISIE;mentioned_in_EU_quarantine_species;partly_native
Mycale senegalensis;NO;0;11;NA;NA;0;0;1;0;Marine;NO;NO;NO;NO
Myiopsitta monachus;NO;2942;534;R09715;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Myoporum laetum;NO;3862;111;R09723;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Myoporum tenuifolium;NO;0;20;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Myosotis alpestris;NO;2785;51;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Myosotis gallica;NO;0;15;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Myosotis michaelae;NO;0;3;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Mytilopsis leucophaeata;NO;0;409;R09775;A;0;1;0;0;Freshwater;NO;NO;NO;NO
Myzus mumecola;NO;198;5;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Najas gracillima;NO;538;15;R09802;A;0;1;0;0;Freshwater;NO;NO;NO;NO
Nandayus nenday;NO;0;69;R09808;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Nandina domestica;NO;9031;555;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Narcissus cyclazetta;NO;0;0;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Narcissus incomparabilis;NO;0;10;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Narcissus pseudonarcissus;NO;2172;1753;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Narcissus tazetta;NO;1750;1035;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Nassella neesiana;NO;0;156;R09852;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Neillia incisa;NO;0;3;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Neillia sinensis;NO;0;4;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Neillia tanakae;NO;0;0;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
