"TaxonName";"scientificName";"Family";"Order";"Class";"Phylum";"Taxonomy";"OrigName";"Region";"Island";"PresentStatus";"FirstRecord";"FirstRecord_orig";"Source"
"Sporobolus indicus";"Sporobolus indicus (L.) R.Br.";"Poaceae";"Poales";"Liliopsida";"Tracheophyta";"GBIF";"Agrostis indica L.";"Austria";"";"";2015;"2015";"Neilreichia 8: 181-238 (2016)"
"Xanthium albinum subsp. Albinum";"Xanthium albinum subsp. albinum";"Asteraceae";"Asterales";"Magnoliopsida";"Tracheophyta";"GBIF";"Xanthium orientale L.";"Austria";"";"";2015;"2015";"Neilreichia 8: 181-238 (2016)"
"Erodium manescavii";"Erodium manescavii Coss.";"Geraniaceae";"Geraniales";"Magnoliopsida";"Tracheophyta";"GBIF";"Erodium manescavii";"Austria";"";"";2017;"2017";"Neilreichia 9: 289-354 (2018)"
"Galanthus woronowii";"Galanthus woronowii Losinsk.";"Amaryllidaceae";"Asparagales";"Liliopsida";"Tracheophyta";"GBIF";"Galanthus woronowii";"Austria";"";"";2015;"2015";"Neilreichia 9: 289-354 (2018)"
"Bistorta amplexicaulis";"Bistorta amplexicaulis (D.Don) Greene";"Polygonaceae";"Caryophyllales";"Magnoliopsida";"Tracheophyta";"GBIF";"Persicaria amplexicaulis, Polygonum amplexicaulis";"Austria";"";"";2017;"2017";"Neilreichia 10: 197-274 (2019)"
"Eclipta prostrata";"Eclipta prostrata (L.) L.";"Asteraceae";"Asterales";"Magnoliopsida";"Tracheophyta";"GBIF";"Verbesina prostrata L.";"Austria";"";"";2018;"2018";"Neilreichia 10: 197-274 (2019)"
"Flueggea suffruticosa";"Flueggea suffruticosa (Pall.) Baill.";"Phyllantaceae";"Malphigiales";"Magnoliopsida";"Tracheophyta";"GBIF";"Securinega suffruticosa, Pharnaceum suffruticosum Pall.";"Austria";"";"";2018;"2018";"Neilreichia 10: 197-274 (2019)"
"Perovskia atriplicifolia";"Perovskia atriplicifolia Benth.";"Lamiaceae";"Lamiales";"Magnoliopsida";"Tracheophyta";"GBIF";"Salvia yangii";"Austria";"";"";2017;"2017";"Neilreichia 10: 197-274 (2019)"
"Phyla nodiflora";"Phyla nodiflora (L.) Greene";"Verbenaceae";"Lamiales";"Magnoliopsida";"Tracheophyta";"GBIF";"Lippia nodiflora, Verbena nodiflora L.";"Austria";"";"invasive";2017;"2017";"Neilreichia 10: 197-274 (2019)"
"Sempervivum arachnoideum subsp. tomentosum";"Sempervivum arachnoideum subsp. tomentosum (C.B.Lehm. & Schnittsp.) Schinz & Thell.";"Crassulaceae";"Saxifragales";"Magnoliopsida";"Tracheophyta";"GBIF";"Sempervivum tomentosum C.B.Lehm. & Schnittsp.";"Austria";"";"";2016;"2016";"Neilreichia 10: 197-274 (2019)"
